1.01148524176 15.2114314815 0.0447213844112 [72, 103]
0.0107999377922 17.3577092593 -0.099256974274 [102, 98]
1.52554521481 15.012349537 0.122292515188 [65, 110]
1.44673846062 15.0544606481 0.161937631246 [109, 173]
0.701363056289 15.5259384259 -0.00505329540956 [93, 122]
1.20070217838 15.0650425926 0.074122397468 [78, 122]
5.05469619195 15.0351273148 0.106569002336 [17, 51]
0.438531204736 15.6443759259 -0.0467394338321 [82, 102]
7.56977202981 15.2046050926 0.055212887933 [3, 2]
1.25742616441 15.0457981481 0.170798038125 [106, 170]
2.06510842844 15.0000717593 0.149025164698 [31, 63]

